Wed May 27 11:30:33 2026    prof_train.out

         4411454936 function calls (4411451401 primitive calls) in 570.339 seconds

   Ordered by: cumulative time
   List reduced from 1876 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    176/1    0.000    0.000  570.339  570.339 {built-in method builtins.exec}
        1    0.000    0.000  570.339  570.339 cs336_basics/preprocessing.py:1(<module>)
        1    0.001    0.001  570.277  570.277 cs336_basics/preprocessing.py:34(main)
        1    0.428    0.428  570.275  570.275 cs336_basics/preprocessing.py:6(train_tokenizer)
        1  338.166  338.166  569.840  569.840 /Users/polaris/CS/cs336-assignment/assignment1-basics-main/cs336_basics/tokenizer.py:28(train_bpe)
2194237626  106.905    0.000  106.905    0.000 {method 'startswith' of 'str' objects}
    16/14    0.000    0.000   80.744    5.767 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:391(_recv)
    52/50   37.215    0.716   80.744    1.615 {built-in method posix.read}
2203589735/2203589570   78.581    0.000   78.581    0.000 {built-in method builtins.len}
        1    0.000    0.000   40.880   40.880 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:738(__exit__)
        1    0.000    0.000   40.817   40.817 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:654(terminate)
        7    0.000    0.000   40.511    5.787 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:247(recv)
       13    0.000    0.000   40.502    3.116 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/util.py:276(__call__)
        1    0.000    0.000   40.502   40.502 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:680(_terminate_pool)
        1    0.000    0.000   40.495   40.495 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:671(_help_stuff_finish)
        1    0.000    0.000   40.495   40.495 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.000    0.000   40.495   40.495 /Users/polaris/miniconda3/lib/python3.13/threading.py:1001(_bootstrap)
      3/1    0.000    0.000   40.495   40.495 /Users/polaris/miniconda3/lib/python3.13/threading.py:1028(_bootstrap_inner)
      3/1    0.000    0.000   40.495   40.495 /Users/polaris/miniconda3/lib/python3.13/threading.py:984(run)
        1    0.000    0.000   40.495   40.495 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:573(_handle_results)
      8/7    0.000    0.000   40.495    5.785 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:430(_recv_bytes)
        1    0.000    0.000   40.494   40.494 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:527(_handle_tasks)
        1    0.000    0.000   40.493   40.493 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:506(_handle_workers)
       20    0.000    0.000   40.486    2.024 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:500(_wait_for_updates)
       42    0.000    0.000   40.475    0.964 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:1156(wait)
        2    2.455    1.227    4.262    2.131 {method 'read' of '_io.TextIOWrapper' objects}
       12    0.039    0.003    3.035    0.253 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:203(send)
       17    0.000    0.000    2.063    0.121 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:407(_send_bytes)
       23    0.000    0.000    2.063    0.090 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/connection.py:382(_send)
       41    2.063    0.050    2.063    0.050 {built-in method posix.write}
        2    0.000    0.000    1.807    0.903 <frozen codecs>:322(decode)
        2    1.807    0.903    1.807    0.903 {built-in method _codecs.utf_8_decode}
       17    0.024    0.001    0.933    0.055 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/reduction.py:48(dumps)
       29    0.910    0.031    0.910    0.031 {method 'dump' of '_pickle.Pickler' objects}
   175617    0.192    0.000    0.340    0.000 {built-in method _heapq.heappop}
        7    0.000    0.000    0.303    0.043 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/util.py:518(spawnv_passfds)
        7    0.302    0.043    0.302    0.043 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.246    0.246 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.246    0.246 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/pool.py:314(_repopulate_pool_static)
  3618833    0.245    0.000    0.245    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.245    0.041 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/process.py:110(start)
        6    0.000    0.000    0.244    0.041 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/context.py:292(_Popen)
  4092779    0.242    0.000    0.242    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.242    0.040 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/popen_spawn_posix.py:30(__init__)
        6    0.000    0.000    0.242    0.040 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/popen_fork.py:16(__init__)
        6    0.001    0.000    0.241    0.040 /Users/polaris/miniconda3/lib/python3.13/multiprocessing/popen_spawn_posix.py:38(_launch)
       42    0.000    0.000    0.225    0.005 /Users/polaris/miniconda3/lib/python3.13/selectors.py:385(select)
       42    0.224    0.005    0.224    0.005 {method 'poll' of 'select.poll' objects}
  3596805    0.173    0.000    0.173    0.000 /Users/polaris/CS/cs336-assignment/assignment1-basics-main/cs336_basics/tokenizer.py:24(__lt__)
    219/9    0.000    0.000    0.131    0.015 <frozen importlib._bootstrap>:1349(_find_and_load)


